Date,Questions solved,Score,accuracy,total time taken,average time taken
2021-05-27 11-15-30,5,4,0.8,52,10.4
2021-05-27 11-41-40,5,5,1.0,50,10.0
2021-05-27 11-46-19,5,3,0.6,57,11.4
2021-05-27 11-51-55,5,4,0.8,48,9.6
2021-05-27 13-19-17,5,3,0.6,31,6.2
2021-05-27 13-30-43,5,5,1.0,52,10.4
2021-05-27 15-06-49,5,3,0.6,36.0,7.2
2021-05-27 17-48-24,5,4,0.8,66.03,13.206
2021-05-27 18-11-29,5,1,0.2,5.53,1.11
2021-05-27 18-12-37,5,0,0.0,7.36,1.47
2021-05-27 19-33-26,5,5,1.0,17.71,3.54
2021-05-28 11-15-52,5,4,0.8,38.07,7.61
2021-05-28 11-40-05,5,4,0.8,19.43,3.89
2021-05-28 12-47-55,5,5,1.0,27.16,5.43
2021-05-28 13-16-35,5,1,0.2,14.21,2.84
2021-05-28 16-38-56,5,5,1.0,58.07,11.61
2021-05-28 16-57-49,5,2,0.4,70.8,15.71
2021-05-28 17-20-58,5,4,0.8,41.27,8.25
2021-05-28 17-45-09,5,4,0.8,57.48,11.5
2021-05-28 18-04-49,5,4,0.8,38.78,7.76
2021-05-28 18-14-58,5,2,0.4,43.47,8.69
2021-05-28 18-21-51,5,4,0.8,41.97,8.39
2021-05-28 18-26-26,5,4,0.8,24.97,4.99
2021-05-28 18-45-17,5,4,0.8,41.92,8.38
2021-05-28 18-53-20,5,4,0.8,22.05,4.41
2021-06-02 19-31-16,5,4,0.8,25.94,5.19
